"Species","Family","Order","Wing_length","Mass","Habitat","Trophic_level","Trophic_niche","HWI","Raw_CRB","Raw_certainty","CRB","Certainty","CRB_Final","brain_volume_mm3","brain.mass.g","brain_mass_calculated"
"Aethopyga_guimarasensis","Nectariniidae","Passeriformes",45.9,6.7,"Forest","Omnivore","Nectarivore",13.7,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_ignicauda","Nectariniidae","Passeriformes",55.4,8.2,"Forest","Omnivore","Nectarivore",16,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_latouchii","Nectariniidae","Passeriformes",47.8,5.2,"Forest","Herbivore","Omnivore",20.6,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_linaraborae","Nectariniidae","Passeriformes",52,7.2,"Forest","Omnivore","Nectarivore",15.8,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_magnifica","Nectariniidae","Passeriformes",50.4,9.3,"Forest","Herbivore","Nectarivore",17.4,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_mystacalis","Nectariniidae","Passeriformes",46.8,6,"Forest","Omnivore","Nectarivore",15.7,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_nipalensis","Nectariniidae","Passeriformes",49.8,6.9,"Forest","Omnivore","Nectarivore",18.3,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_primigenia__","Nectariniidae","Passeriformes",50.6,7,"Forest","Omnivore","Nectarivore",15.8,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_pulcherrima__","Nectariniidae","Passeriformes",46.1,6.2,"Forest","Omnivore","Nectarivore",16.6,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_saturata__","Nectariniidae","Passeriformes",51.3,5.3,"Forest","Herbivore","Nectarivore",16.2,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_shelleyi__","Nectariniidae","Passeriformes",46,4,"Forest","Omnivore","Nectarivore",15.6,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_siparaja__","Nectariniidae","Passeriformes",50.4,6.7,"Forest","Herbivore","Nectarivore",17.4,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_temminckii__","Nectariniidae","Passeriformes",51,6,"Forest","Omnivore","Nectarivore",16.2,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_vigorsii__","Nectariniidae","Passeriformes",57.5,6.7,"Forest","Herbivore","Nectarivore",15.6,NA,NA,0,0,NA,NA,NA,NA
"Agapornis_canus","Psittacidae","Psittaciformes",92,30,"Forest","Herbivore","Omnivore",45.2,1,1,1,1,"1",NA,NA,NA
"Agapornis_fischeri","Psittacidae","Psittaciformes",93,48.3,"Woodland","Herbivore","Granivore",40.4,0,1,0,1,"0",1927.88,2.0202,2.13
"Agapornis_lilianae","Psittacidae","Psittaciformes",89.4,37.3,"Woodland","Herbivore","Granivore",37,1,1,1,1,"1",NA,1.58508,NA
"Agapornis_nigrigenis","Psittacidae","Psittaciformes",92.8,40.5,"Woodland","Herbivore","Granivore",42.5,1,1,1,1,"1",NA,NA,NA
"Agapornis_personatus","Psittacidae","Psittaciformes",95.2,52.4,"Shrubland","Herbivore","Granivore",41.3,0,1,0,1,"0",2786.09,NA,3.08
"Agapornis_pullarius","Psittacidae","Psittaciformes",90.4,39.3,"Woodland","Herbivore","Granivore",39.4,1,1,1,1,"1",NA,1.49184,NA
"Agapornis_roseicollis","Psittacidae","Psittaciformes",100.8,53.8,"Shrubland","Herbivore","Granivore",40.7,1,1,1,1,"1",2008.01,NA,2.22
"Agapornis_swindernianus","Psittacidae","Psittaciformes",92.6,40,"Forest","Herbivore","Omnivore",41.3,0,0,0,0,NA,NA,NA,NA
"Agapornis_taranta","Psittacidae","Psittaciformes",100.4,57.5,"Forest","Herbivore","Granivore",38.6,1,1,1,1,"1",NA,2.05128,NA
"Agelaioides_badius","Icteridae","Passeriformes",93.5,45.3,"Forest","Omnivore","Omnivore",18.1,NA,NA,0,0,NA,NA,NA,NA
"Agelaioides_fringillarius","Icteridae","Passeriformes",87.9,45.3,"Forest","Omnivore","Omnivore",15.5,NA,NA,0,0,NA,NA,NA,NA
"Agelaius_assimilis","Icteridae","Passeriformes",93.7,47.7,"Wetland","Omnivore","Omnivore",22.9,1,1,1,1,"1",NA,NA,NA
"Agelaius_humeralis","Icteridae","Passeriformes",112.8,36.3,"Shrubland","Omnivore","Omnivore",24.8,NA,NA,0,0,NA,NA,NA,NA
"Agelaius_phoeniceus","Icteridae","Passeriformes",118,50.8,"Wetland","Herbivore","Granivore",24,1,1,1,1,"1",1063.3,1.75084,1.17
"Agelaius_tricolor","Icteridae","Passeriformes",113.2,57.9,"Wetland","Omnivore","Invertivore",31.2,1,1,1,1,"1",NA,NA,NA
"Agelaius_xanthomus","Icteridae","Passeriformes",101.2,38.4,"Wetland","Omnivore","Invertivore",21,1,1,1,1,"1",NA,NA,NA
"Agelasticus_cyanopus","Icteridae","Passeriformes",87.8,37.2,"Wetland","Omnivore","Omnivore",15.3,NA,NA,0,0,NA,NA,NA,NA
"Agelasticus_thilius","Icteridae","Passeriformes",93.4,31.5,"Wetland","Carnivore","Invertivore",18.3,NA,NA,0,0,NA,NA,NA,NA
"Agelasticus_xanthophthalmus","Icteridae","Passeriformes",91.2,45.1,"Wetland","Carnivore","Invertivore",16.1,NA,NA,0,0,NA,NA,NA,NA
"Agraphospiza_rubescens","Fringillidae","Passeriformes",76.9,19,"Forest","Herbivore","Granivore",27.7,NA,NA,0,0,NA,NA,NA,NA
"Agricola_infuscatus","Muscicapidae","Passeriformes",105.1,32.4,"Grassland","Carnivore","Invertivore",25.7,NA,NA,0,0,NA,NA,NA,NA
"Agricola_pallidus","Muscicapidae","Passeriformes",89.9,23.6,"Woodland","Carnivore","Invertivore",19,NA,NA,0,0,NA,NA,NA,NA
"Agriornis_albicauda","Tyrannidae","Passeriformes",141.3,53,"Shrubland","Carnivore","Vertivore",24.9,NA,NA,0,0,NA,NA,NA,NA
"Agriornis_lividus","Tyrannidae","Passeriformes",127.7,99.1,"Shrubland","Carnivore","Vertivore",21.5,NA,NA,0,0,NA,NA,NA,NA
"Agriornis_micropterus","Tyrannidae","Passeriformes",118.9,67.8,"Shrubland","Carnivore","Vertivore",24.5,NA,NA,0,0,NA,NA,NA,NA
"Agriornis_montanus","Tyrannidae","Passeriformes",131.3,63.3,"Shrubland","Carnivore","Omnivore",25.1,NA,NA,0,0,NA,NA,NA,NA
"Agriornis_murinus","Tyrannidae","Passeriformes",97,29.9,"Shrubland","Carnivore","Vertivore",24,NA,NA,0,0,NA,NA,NA,NA
"Agropsar_philippensis","Sturnidae","Passeriformes",105.2,28.8,"Woodland","Omnivore","Omnivore",37.3,NA,NA,0,0,NA,NA,NA,NA
"Agropsar_sturninus","Sturnidae","Passeriformes",105.6,49.4,"Forest","Omnivore","Invertivore",37.9,1,1,1,1,"1",NA,NA,NA
"Ailuroedus_buccoides","Ptilonorhynchidae","Passeriformes",129.6,138,"Forest","Omnivore","Omnivore",20,NA,NA,0,0,NA,NA,NA,NA
"Ailuroedus_crassirostris","Ptilonorhynchidae","Passeriformes",155.8,205.3,"Forest","Herbivore","Omnivore",19.4,NA,NA,0,0,NA,1258.93,4.15436,1.39
"Ailuroedus_melanotis","Ptilonorhynchidae","Passeriformes",157.8,176.9,"Forest","Herbivore","Frugivore",20.5,NA,NA,0,0,NA,NA,4.560203017,NA
"Aimophila_notosticta","Passerellidae","Passeriformes",67.1,27.1,"Shrubland","Herbivore","Omnivore",8.3,NA,NA,0,0,NA,NA,NA,NA
"Aimophila_rufescens","Passerellidae","Passeriformes",73.6,34.3,"Shrubland","Herbivore","Omnivore",9.1,NA,NA,0,0,NA,NA,NA,NA
"Aimophila_ruficeps","Passerellidae","Passeriformes",59.9,18.7,"Shrubland","Herbivore","Granivore",12.8,1,1,1,1,"1",NA,NA,NA
"Akletos_goeldii","Thamnophilidae","Passeriformes",87.4,42,"Forest","Carnivore","Invertivore",11.2,NA,NA,0,0,NA,NA,NA,NA
"Akletos_goeldii","Thamnophilidae","Passeriformes",87.4,42,"Forest","Carnivore","Invertivore",11.2,NA,NA,0,0,NA,NA,NA,NA
"Akletos_melanoceps","Thamnophilidae","Passeriformes",85.8,38.5,"Forest","Carnivore","Invertivore",8.1,NA,NA,0,0,NA,NA,NA,NA
"Akletos_melanoceps","Thamnophilidae","Passeriformes",85.8,38.5,"Forest","Carnivore","Invertivore",8.1,0,0,0,0,NA,NA,NA,NA
"Alcedo_atthis","Alcedinidae","Coraciiformes",73.3,31.1,"Riverine","Carnivore","Aquatic predator",26.9,0,0,0,0,NA,877.876,0.76664,0.97
"Alcedo_coerulescens","Alcedinidae","Coraciiformes",59.3,34.9,"Riverine","Carnivore","Aquatic predator",24.2,0,0,0,0,NA,NA,NA,NA
"Alcedo_euryzona","Alcedinidae","Coraciiformes",85.6,43.1,"Riverine","Carnivore","Aquatic predator",21.4,0,0,0,0,NA,NA,NA,NA
"Alcedo_hercules","Alcedinidae","Coraciiformes",96,62.5,"Riverine","Carnivore","Aquatic predator",26,0,0,0,0,NA,NA,NA,NA
"Alcedo_meninting","Alcedinidae","Coraciiformes",65,20.4,"Riverine","Carnivore","Aquatic predator",25.2,0,0,0,0,NA,NA,NA,NA
"Alcedo_peninsulae","Alcedinidae","Coraciiformes",80.7,43.1,"Riverine","Carnivore","Aquatic predator",21.4,0,0,0,0,NA,NA,NA,NA
"Alcedo_quadribrachys","Alcedinidae","Coraciiformes",77.1,34.9,"Wetland","Carnivore","Aquatic predator",25.8,0,0,0,0,NA,NA,NA,NA
"Alcedo_semitorquata","Alcedinidae","Coraciiformes",80.6,47.3,"Wetland","Carnivore","Aquatic predator",24.7,0,0,0,0,NA,NA,NA,NA
"Alcippe_brunneicauda__","Leiotrichidae","Passeriformes",71.7,14.3,"Forest","Carnivore","Invertivore",14.8,NA,NA,0,0,NA,NA,NA,NA
"Alcippe_grotei__","Leiotrichidae","Passeriformes",66.1,14.3,"Forest","Carnivore","Invertivore",10.9,NA,NA,0,0,NA,NA,NA,NA
"Alcippe_morrisonia__","Leiotrichidae","Passeriformes",60.9,15.3,"Forest","Omnivore","Invertivore",13.2,NA,NA,0,0,NA,NA,NA,NA
"Alcippe_nipalensis__","Leiotrichidae","Passeriformes",56,15.8,"Forest","Omnivore","Invertivore",9.2,NA,NA,0,0,NA,NA,NA,NA
"Alcippe_peracensis__","Leiotrichidae","Passeriformes",63.6,14.3,"Forest","Carnivore","Invertivore",12.6,NA,NA,0,0,NA,NA,NA,NA
"Alcippe_poioicephala__","Leiotrichidae","Passeriformes",69.5,20.7,"Forest","Carnivore","Invertivore",10.9,NA,NA,0,0,NA,NA,NA,NA
"Alcippe_pyrrhoptera__","Leiotrichidae","Passeriformes",62.2,16.3,"Forest","Carnivore","Invertivore",12.4,NA,NA,0,0,NA,NA,NA,NA
